ranks,T,Mono,Megakaryocyte,B,NK,DC
1,CXCR6,TNFRSF14,MPL,BEND5,FGFBP2,XCR1
2,RHOH,PADI4,PLK3,PXK,TXK,DNASE1L3
3,LEF1,CSF3R,GP9,EAF2,HOPX,NAAA
4,IL21,NFKBIZ,GP5,JCHAIN,ITGA2,CAMK2D
5,NR3C1,CSTA,PDE6B,BANK1,GZMK,VCAN
6,HAVCR2,PLSCR1,SPON2,CD180,GZMA,HLA-DPA1
7,TNFAIP3,TNFSF10,PF4,ABCB4,DOCK2,HLA-DPB1
8,PTPN22,CXCL10,TREML1,BLK,NCR3,CTSS
9,GIMAP2,TET2,VEGFA,PNOC,SAMD3,S100A9
10,GIMAP5,GBP1,GATA1,IL7,IL2RG,S100A4
11,FOXP3,RHOC,SYP,PAX5,DOK2,SLAMF8
12,CD3D,PILRA,SLAMF1,MS4A1,HMBOX1,CLEC9A
13,CREM,AR,KIF5B,FCRL2,SH2D2A,FLT3
14,ENTPD1,IDO1,TSPAN9,AIM2,CTSW,SERPINA1
15,LAG3,LYN,VWF,POU2AF1,CD3G,CXCL16
16,BIN2,LY6E,CD9,HHEX,ADAMTS14,SCIMP
17,DGKA,FCN1,LRP1,BLNK,KLRG1,CLEC10A
18,EPSTI1,IFITM3,SELP,BCL7A,CLEC2D,HCK
19,CD8B,IRF7,RGS18,FCRLA,KLRF1,BATF3
20,CTLA4,SPI1,CIB1,CR2,KLRD1,FTL
21,SATB1,S100A12,MKL2,TNFRSF17,KLRK1,LILRB2
22,,MNDA,LAT,CD19,KLRC2,SLC11A1
23,,CD48,ALOX12,NPIPB15,KLRC1,
24,,PSAP,ITGA2B,CD79B,IFNG,
25,,IFIT1,ITGB3,FCER2,TRDC,
26,,MGMT,PECAM1,CD22,GZMH,
27,,CLEC12A,MAFG,CD79A,CD247,
28,,LTA4H,NFATC1,CD37,XCL2,
29,,CMKLR1,PROX1,MICAL3,XCL1,
30,,OAS1,MATK,VPREB3,CHSY1,
31,,FCGR3B,EPOR,TNFRSF13C,IL32,
32,,RGS2,TGFB1,RASGRP3,CST7,
33,,MEFV,CXCR1,,GZMM,
34,,PYCARD,,,SIGLEC7,
35,,ACE,,,NKG7,
36,,CD7,,,LAIR2,
37,,LYST,,,LILRB1,
38,,CEBPB,,,KIR2DL1,
39,,PRTN3,,,KIR3DL1,
40,,ICAM1,,,NCR1,
41,,ACP5,,,GNLY,
42,,IFI30,,,DUSP2,
43,,APOBEC3A,,,IL18R1,
44,,TYMP,,,FHL2,
45,,MX1,,,,
46,,ZFP36L2,,,,
47,,DYSF,,,,
48,,IL1RN,,,,
49,,FN1,,,,
