,B,DC,NK,Megakaryocyte,Mono,T
0,IGKC,JCHAIN,GNLY,PPBP,LST1,IL32
1,CD79A,CD74,NKG7,PF4,FCN1,CCL5
2,MS4A1,GZMB,KLRD1,MNDA,AIF1,TRAC
3,CD79B,HLA-DRA,CTSW,GNG11,CST3,CD3D
4,IGHM,PLD4,KLRF1,S100A12,TYROBP,MALAT1
5,IGLC2,IRF7,KLRB1,NRGN,S100A8,RPL23A
6,IGLC3,IRF8,GZMA,CSTA,VCAN,RPS27A
7,LTB,HLA-DPA1,CMC1,RP11-1143G9.4,S100A9,RPS15A
8,LINC00926,HLA-DPB1,CD7,CLEC7A,FTL,TRBC2
9,IGHD,HLA-DRB1,PRF1,LGALS2,LYZ,RPS29
10,CD37,ITM2C,TRDC,CLEC12A,GPX1,RPS27
11,HLA-DRA,ALOX5AP,CST7,NUP214,FCER1G,RPS12
12,TCL1A,HLA-DQB1,HOPX,CFD,SERPINA1,CD3E
13,HLA-DQB1,TCF4,GZMB,BLVRB,LGALS1,RPS18
14,HLA-DPB1,C12orf75,CCL5,RETN,COTL1,RPL13
15,HLA-DQA1,HLA-DMA,FGFBP2,DUSP6,CSTA,B2M
16,HLA-DPA1,HERPUD1,ID2,VCAN,SAT1,RPS3
17,BANK1,CALM2,IFITM1,SDPR,TMSB10,RPL31
18,CXCR4,FCER1A,SPON2,APLP2,S100A12,RPL32
19,CD74,HLA-DQA1,CLIC3,MGST1,CYBB,RPSA
20,VPREB3,TXN,CCL4,FOLR3,SH3BGRL3,NKG7
21,BIRC3,CCDC50,KLRC1,RGS18,SERF2,RPL3
22,HLA-DRB1,RNASE6,HCST,FCGR1A,STXBP2,EEF1A1
23,BTG1,LILRA4,GZMH,MPEG1,CTSS,RPS25
24,HVCN1,UGCG,SEPT7,CD163,NEAT1,CD52
25,HLA-DRB5,SERPINF1,CD247,PLBD1,TSPO,LTB
26,CD22,BCL11A,GZMM,NPIPA1,S100A6,CD2
27,MEF2C,SEC61B,IFITM2,AC093818.1,BRI3,RPL19
28,RPS5,SPCS1,IL2RG,CLEC4E,CD14,RPS14
29,ISG20,CST3,UBB,MS4A6A,TYMP,RPL14
30,HLA-DQA2,CLIC3,JAK1,LRP1,RPLP1,HLA-C
31,FCER2,IGKC,GIMAP7,TUBB1,FOS,CD3G
32,TNFRSF13C,PTPRE,XCL2,MYL9,MNDA,GZMA
33,GLTSCR2,MZB1,CALM1,FPR1,RP11-1143G9.4,RPL41
34,ADAM28,MYL12A,XBP1,F13A1,C4orf48,IL7R
35,RP11-693J15.5,STMN1,MATK,CTSS,TKT,HLA-A
36,RALGPS2,HIGD1A,SRGN,ACRBP,S100A11,RPL13A
37,EEF2,VIMP,EVL,C19orf38,PSAP,RPL10A
38,FCMR,PPP1R14B,CD63,RBP7,TCEB2,TRBC1
39,EEF1B2,PTPRS,PYHIN1,MAFB,PYCARD,GIMAP7
40,PLPP5,JAML,IL2RB,KCNE3,CFD,RPL34
41,HLA-DMB,HLA-DRB5,SAMD3,KCTD12,NPC2,RPS2
42,ARHGAP24,MS4A6A,STK17A,PLXDC2,C14orf2,RPS4X
43,IGHG1,TAGLN2,MYL12A,CLU,MT-CO1,RPL21
44,SNX2,TSPAN13,FCGR3A,HIST1H2AC,IFITM3,RPL5
45,BLK,TRAM1,BIN2,CCNY,ACTB,RPL11
46,P2RX5,SUB1,RARRES3,NRG1,CYBA,RPS6
47,HLA-DMA,HMGN1,RAP1B,GNS,CTSD,HLA-B
48,PDLIM1,LSP1,RAC2,GP9,LAMTOR4,GNLY
49,FCRLA,SPCS2,HLA-E,LGALS3,MT-CO3,RPL15
50,SEC62,TCL1A,TRBC1,AC078883.3,NDUFB1,RPL26
51,RP5-887A10.1,PARK7,CHST12,SPARC,GRN,RPL35A
52,SYPL1,APP,HLA-A,IRAK3,MT-CO2,IFITM1
53,CD24,GAPT,CD2,OSCAR,MT-ND1,RPL38
54,TPD52,RNASET2,LY6E,CPVL,DUSP1,RPLP2
55,HLA-DOB,SEC61G,APMAP,RAB32,OAZ1,RPS19
56,KIAA0125,DERL3,PLAC8,IL17RA,LINC01272,RPL6
57,IGHA1,SCT,TXNIP,LMO2,NUP214,RPS23
58,SPIB,DNASE1L3,APOBEC3G,MARCKS,S100A4,RPL30
59,GNG7,OSTC,IGFBP7,SMCO4,SPI1,RPL10
60,STX7,PTGDS,ARPC5L,HRH2,CEBPB,RPL27A
61,SWAP70,HSP90B1,ARL4C,HBG2,TIMP1,RPS5
62,CXXC5,CAPG,TRGC1,C5AR1,TMSB4X,RPS10
63,GABPB1-AS1,TMED2,HLA-C,TGFBI,MT-ND3,RPS17
64,TSTD1,PSMA4,LITAF,FAM45A,AP1S2,RPL36
65,CD72,GPR183,BTG1,C6orf25,MT2A,RPL9
66,PLEKHF2,SPINT2,XCL1,EGR1,CFP,CST7
67,ID3,LRRC26,ABHD17A,ASGR1,FTH1,RPS8
68,ORAI2,PSMA2,TPST2,SPI1,NCF1,RPL37A
69,PARP1,IL3RA,LCK,FOS,ATP5I,LCK
70,RPSA,CLEC4C,C12orf75,TREML1,CEBPD,RPS3A
71,AL928768.3,SNX3,CLEC2B,NCF2,ATP5E,RPL17
72,QRSL1,NPC2,TXK,LY96,RAC1,RPS15
73,IFT57,HLA-DQA2,PTGDR,CD14,RPL38,RPS28
